region,Code,Animal-based energy,Bio-remediation,Buffering and attenuation of mass flows,Climate regulation,Dilution by atmosphere and ecosystems,Disease control,Fibres and other materials,Filtration,Flood and storm protection,Genetic materials,Ground water,Maintain nursery habitats,Mass stabilisation and erosion control,Mediation of sensory impacts,Pest control,Pollination,Soil quality,Surface water,Ventilation,Water flow maintenance,Water quality
AT,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT,C,0.1273789166578076,0.1039439932977447,0.0912647796204469,0.0841758415535661,0.0895211507492778,0.1117246885815418,0.0968767547688797,0.1362698508805599,0.13354765512423,7.708477562091443e-05,0.1052497184208775,0.0973830996492935,0.0621249750108321,0.0983803406087526,0.1043425091194597,0.1063276502010732,0.1003496127387127,0.0905755666402028,0.1203124757154407,0.1194194052615305,0.0873152025281023
AT,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT,E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT,F,0.2253760391704334,0.1784008281622854,0.1659312128845277,0.1534541499277952,0.163017959678761,0.1920212821290641,0.1711757698430423,0.2323480336366862,0.2413703992771537,0.0001806422471385,0.1802128712609535,0.1753023308075338,0.124049506432999,0.1679024910042823,0.1811702928494212,0.186140246936464,0.1784876152081356,0.1625356877235848,0.2051925068405288,0.2047719655119884,0.1540742108293488
AT,G,0.205334209709849,0.1746774225600664,0.1474770500296717,0.1419942244043424,0.1499632612540115,0.1844943035199298,0.1631808708628898,0.2281425213204125,0.2247618492093447,0.0001703496758068,0.1752560668479707,0.1682674439974627,0.0951725854595595,0.1642131916419955,0.1710820532065146,0.1785651644676369,0.1693330983602845,0.1454841632306982,0.1988772155733705,0.200028731912927,0.1488278048663236
AT,H,0.1386995123191447,0.1187293722182706,0.1041815688774519,0.0992704499651871,0.1039191276426044,0.1227929964198369,0.1118607761054828,0.1573437375629559,0.1641230616504156,6.249690702254722e-05,0.1204987965799733,0.1161665206672193,0.0770143996549423,0.1127767343597147,0.112363794171964,0.1204617753158302,0.1166504327920732,0.1010340815227449,0.1354977363962692,0.1360285003870533,0.1054824618109689
AT,I,0.2302041399710123,0.1804998080060851,0.1627076763721899,0.1490873066623189,0.1579741614621298,0.1931343309099946,0.1703392082513528,0.2375016621512354,0.2387540528319813,0.0019675394260441,0.1821403822764442,0.1719556751939514,0.1154272948962426,0.1710345397979488,0.1800203423490895,0.1860506616890016,0.1739333729665859,0.1606081694559495,0.2077210914144639,0.2063216601558381,0.1550523610230412
AT,J,0.1330007394167864,0.1087952346775494,0.0896062086138736,0.0825962853531258,0.0889727254241426,0.1155282833514271,0.0990573469037115,0.1437550840373131,0.1307420911166914,0.0001673056590349,0.1086085401478349,0.0963822831380177,0.0539750934892614,0.1031857077615543,0.1068225133165707,0.1105640533982841,0.1007080617179431,0.0904280707169493,0.1245932265567694,0.1250174666755578,0.0893079760323097
AT,K,0.1296737701843815,0.1019585010666469,0.079018435269055,0.0727039222156546,0.0781878033786541,0.1051176445384889,0.0902927955269,0.1356038684072978,0.1146264631750252,0.0001330866802941,0.1002129213036586,0.0814832819688764,0.0402985012240332,0.0970615086780142,0.0956837061194395,0.1016453142067718,0.087186788788677,0.0822467280517745,0.1160426368761215,0.1160146026828984,0.0808358647351909
AT,L,0.2117377891958027,0.1639893116859914,0.1495483821629574,0.1357285712397798,0.1455995376464966,0.1754530830811015,0.154541085963073,0.2168210244650625,0.2136556740110264,0.0001985812743007,0.163742749891446,0.15261295766735,0.1046692879424742,0.1557443874273527,0.1642389599779527,0.1706142908333328,0.1573288323219672,0.148556941840573,0.1875178488248018,0.1883244471288156,0.1389405098698034
AT,M,0.2228660732397982,0.1833430478002081,0.1522383912722961,0.1384305232991261,0.1479865115378885,0.1977331581288524,0.1649492768302871,0.2429312416420567,0.2190610079969454,0.0002185664503123,0.1854067418432231,0.1597826571970539,0.0894946084461958,0.1751270368126203,0.1830598137450515,0.1840155077553298,0.1673775778758639,0.1549969545162925,0.2137732365290126,0.2108399299216558,0.1477534215995027
AT,N,0.1596409572083603,0.1320184980506644,0.1108980201989564,0.1024208934646102,0.1092038037059391,0.1410574637160237,0.1203712258754416,0.1744566276287161,0.1623907654497795,0.0002143335876461,0.1330649181816549,0.118545307674975,0.0690058347278003,0.1255990787679186,0.1305926054684763,0.1334266666992163,0.1229181332340245,0.1117269188473176,0.1526309338588669,0.1516816951751997,0.1086362671343666
AT,O,0.2186216925790725,0.175589108405577,0.1565503357439399,0.1437491488323915,0.1530550596251103,0.1870451757891572,0.1644314733909098,0.2327020831107089,0.2303766012306299,0.0007676191464218,0.1765840870030052,0.1652917056668611,0.1089124265412375,0.1670559518424712,0.1736933078887038,0.1806892518605572,0.1685156872255039,0.1547521600490488,0.2012841621286883,0.201579306717012,0.1501108419183386
AT,P,0.22558579572732,0.1797780231188293,0.1563739911925841,0.1416524788705723,0.1517019176715525,0.1936346473620657,0.1665249110270283,0.2375784002801591,0.2227866644272246,0.0001970191618143,0.1812006215891749,0.1626892006381858,0.0874976954898743,0.1711285037900744,0.1805544675141311,0.184086224312996,0.1699730370873071,0.158680337955815,0.2079568084455865,0.2065228101435697,0.1496373284081859
AT,Q,0.2171351456760692,0.1741773604949525,0.1512584956339187,0.1379700571701566,0.1473270269305721,0.1867634765615863,0.160586847161652,0.2303120893026471,0.2188291305257553,0.000220671354791,0.1753584367989746,0.1581034442153035,0.0984524915959892,0.1657709629547221,0.1736027114284217,0.1776788527822362,0.1635044163750059,0.1516515796641058,0.2011748473267295,0.1999733119544224,0.1447197233846579
AT,R,0.1981683904007346,0.1643766886879294,0.1401621333363495,0.1314992539367901,0.1398809615641394,0.1749284780047401,0.1520164914912565,0.2161484001017579,0.2069356679751509,0.0002727053884329,0.1647688794494005,0.1522149207267768,0.0913349590055555,0.1555661772654117,0.1625197231719906,0.1678325112885156,0.1561446765021053,0.1399023397186122,0.1883594686053684,0.1886668441251583,0.1370528841214099
AT,S,0.1961909039584707,0.161139505574892,0.1368005244119196,0.1256909798862443,0.1340686857696886,0.173166387271531,0.1470268282214083,0.2130333400077487,0.1982409900827492,0.0001870630289589,0.1624083020854126,0.1446045301083355,0.0852776654207192,0.1534712526290507,0.1607535814835803,0.1632430793034245,0.1499456917811037,0.1379900497243059,0.1866314894652723,0.1852180692970705,0.1319847173659653
AT,T,0.3312472913683141,0.2308664554552857,0.2512349361321189,0.2277672010099453,0.2403885654136671,0.2607439897966953,0.2385405864037859,0.2988024948446516,0.3448382024033218,0.1908970176059566,0.2318879787341723,0.2484401702949223,0.2141419390050427,0.2168806479519471,0.2571070958787756,0.2573310456900918,0.2427887017431178,0.2442293720885655,0.2694798874159824,0.2632215951826074,0.207385158488184
AT,U,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AU,A,0.1975890979183653,0.1442292152922653,0.1367526017127168,0.1247168103154667,0.1329815356258875,0.1625829946004696,0.1427443400330174,0.1818756259532079,0.1862042716943089,7.696919570511301e-06,0.141384926563031,0.1399989030364512,0.0924751495668715,0.1328463838063987,0.1553547212277987,0.1581028952190631,0.1444509065261331,0.1361835430144173,0.1648400702397639,0.1635560251345689,0.1176407136822305
AU,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AU,C,0.1047484363148312,0.0859536749301704,0.0748678052332254,0.0697481246855006,0.0738802902529458,0.0908030382689484,0.0800404437404997,0.1129013290206994,0.1114801548488207,8.363105759575687e-06,0.0868801140917159,0.0799102102851768,0.0513837480444729,0.0813827703638384,0.084264577552885,0.087422493026315,0.0825729211484198,0.0742709538291418,0.0990809544940315,0.098558277228296,0.0727591341365154
AU,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AU,E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AU,F,0.2036950575733003,0.1593958775229232,0.1495446479265525,0.1357110126881646,0.1450150495382586,0.1723274610853321,0.1519624068624991,0.2089452453620146,0.2140322614787934,2.1781331274758263e-05,0.1615964241617614,0.1531518906572729,0.1107603281550154,0.1509107547659978,0.1626001268113513,0.1658919661720459,0.1581160016945841,0.1473677719983571,0.1845526449715965,0.1835737315333976,0.1367116150290982
