region,Code,Animal-based energy,Bio-remediation,Buffering and attenuation of mass flows,Climate regulation,Dilution by atmosphere and ecosystems,Disease control,Fibres and other materials,Filtration,Flood and storm protection,Genetic materials,Ground water,Maintain nursery habitats,Mass stabilisation and erosion control,Mediation of sensory impacts,Pest control,Pollination,Soil quality,Surface water,Ventilation,Water flow maintenance,Water quality
AT,A,0.21630629463109183,0.1730761479939102,0.15662876690355781,0.1458810491394052,0.15450639818678522,0.18702009701707523,0.16482672957060812,0.2246293694228693,0.22850539083152674,0.003250616096869559,0.17418138187559018,0.16885867570851876,0.11216561299276318,0.16248368216717765,0.17627533825569824,0.18005965172182475,0.1711151506317053,0.15376705671693297,0.1988769132813727,0.19809096717335373,0.14708462467592195
AT,B,0.1377983621447626,0.10922912024028225,0.09926956696426933,0.09198898065617947,0.09784303200528503,0.11841042403313891,0.10394977158420432,0.1414650305578303,0.14248799174932472,0.0014357571968091666,0.10958043055739906,0.10525262517307464,0.07034956575850687,0.1024359904469085,0.11207533514671474,0.11400186479042371,0.10784056867859655,0.09784861442299438,0.12555073447206822,0.12515162829885224,0.09168186395215207
AT,C,0.2332397441427198,0.18796381259419653,0.16926307387027265,0.15732930025585576,0.16698792827414843,0.20229170630763366,0.17828908321745526,0.24466079115487255,0.24765967284016452,0.001979974843753864,0.18957125216535575,0.1818144928637636,0.12089520594426686,0.1768185747716665,0.19018431385815254,0.19476630033242692,0.18550993657801385,0.16640542975627803,0.21626269752070257,0.21554585312465385,0.15992243376311788
AT,D,0.18618039461316407,0.14088735870444022,0.13365114396214875,0.12241468578555581,0.1298813974986303,0.1533937870185335,0.1370026772215715,0.18130094459265395,0.19046221347985978,0.0001579396825677875,0.14093916998527956,0.1395741898177152,0.10017224355865721,0.1314656785552809,0.14612818276139514,0.14930954952214312,0.14171654334442582,0.1300971423560326,0.16132439848193939,0.16060459538244132,0.12024263568774136
AT,E,0.17781857969137604,0.14173893269187646,0.1254761747227484,0.11722340402168371,0.12459067777465713,0.1509323969803969,0.1339031838878384,0.18464065735465632,0.1835563215356622,0.0006272359318496135,0.14151030782278246,0.13445525915429718,0.08709436375672183,0.13316318254341838,0.14141899709259406,0.14687657112952787,0.1375662477736064,0.12398549895041745,0.16169944550910112,0.16205716561288766,0.11968883178547643
AT,F,0.2535352963497647,0.1992473614970271,0.1844686061405323,0.1721024655630451,0.1831609054511809,0.2147908540742121,0.192175557090083,0.2570955644441198,0.2658859455938443,0.0003012078696002,0.1993287871721519,0.1962897997837651,0.1364613472001082,0.1860804197418633,0.2039082798389731,0.2097183650344236,0.2002418121243282,0.1806446220868202,0.2275347791969929,0.2282271981752852,0.1700703196144581
AT,G,0.24714996624431596,0.20415646114114094,0.17363054191273156,0.16186603489558626,0.1721538960812086,0.21841922766654495,0.18845840474059317,0.2677883168848277,0.2554897365838839,0.0004807954402027334,0.2055923757027176,0.1885119056167691,0.11239255210122003,0.19309181220502528,0.20317193569221315,0.20788168462630954,0.19387892758757552,0.17346452736222936,0.23526741791389486,0.23424911610560661,0.16963430638913826
AT,H,0.23523544152288053,0.1863432056358275,0.17342911662798413,0.16509203258184893,0.1735359958185394,0.20090332264327307,0.18188289292522905,0.23880828974462873,0.25509949745549054,0.0030303976005333164,0.18599252934091112,0.19081527467429216,0.13160086917595334,0.17307876483618165,0.19086147729156233,0.1970669825780569,0.18952252715739473,0.16801996081447013,0.21157203550002368,0.21216858265052288,0.1610885961244579
AT,I,0.2469698593981811,0.1927698560941496,0.1741931785228171,0.1604700338595845,0.1699691117223177,0.2068610288023467,0.1827808207179457,0.2523360162990791,0.2541213696255799,0.0086814009392274,0.1936982615095,0.1845828753473396,0.1235054632579414,0.1819572315683726,0.1937596354905175,0.1998484383902475,0.1865459412565422,0.1719003916878721,0.2213798630308172,0.2200622123374833,0.1646754713205639
AT,J,0.20669176378367485,0.16746475923706144,0.13932603185936143,0.12800808426818425,0.13764790473637245,0.180197776911269,0.1524493621840406,0.21994139275386937,0.19869726289470865,0.00031350295719585,0.1673126305070751,0.14771544273667045,0.0827535016397156,0.1585391431974825,0.16795650204425194,0.17052287661909998,0.1548072991232687,0.1413980734974516,0.19298162202450955,0.19231327594918024,0.1348290872936797
AT,K,0.17232093016081615,0.13738658145631052,0.11050991255225856,0.10126226432341352,0.10872024502364837,0.14537727264411418,0.12299343864828012,0.18168459648609656,0.1580296225771432,0.00040031313475696667,0.1363851575828788,0.11488760534979207,0.060394952919452995,0.1306220216108567,0.1340358664136957,0.1381424151298742,0.12158079133985931,0.11385899927709503,0.15789424959018034,0.15702117990046716,0.10907031848205063
AT,L,0.2295020519865022,0.177021919914315,0.1612602645940989,0.1475164818807533,0.1583214334278556,0.1897384334932414,0.1677447354274884,0.2322440320736612,0.2290871883682211,0.0003046747468928,0.1756823733046364,0.1658842279253298,0.1126343405428479,0.1670836591128573,0.1785455796605377,0.1854200290613751,0.1709995025337095,0.1599860974801253,0.2014717639636953,0.2029734699307976,0.148979868845947
AT,M,0.2377127296639201,0.1938872617337183,0.1625937977406444,0.1481922175029534,0.1585006059159082,0.2094261175388572,0.1756527584695718,0.2559365181984298,0.2328933577389349,0.0004733300684679,0.1955318367491219,0.1707192749337864,0.0974302518850801,0.1846272485149991,0.1946210245655469,0.1958164068958596,0.1784667119272772,0.1650735174488154,0.2254749940713383,0.2228057420695766,0.1565155105639106
AT,N,0.1916819792261401,0.1558036665168469,0.1353495286857534,0.1267377356558215,0.1347929231366059,0.1669481072006234,0.14562528571807903,0.2032248555944517,0.1973842842730065,0.0005081780582941501,0.1558931229291665,0.1462327707486464,0.09033916083948575,0.14666549902186143,0.15631609517264966,0.1604923753715239,0.1498257344422964,0.1346268390661903,0.1784908908309854,0.17849943395391632,0.1297511110967262
AT,O,0.2361172869575817,0.188022536975629,0.1685076072478866,0.1552925693586554,0.165583013242121,0.2008114208761667,0.177151083144096,0.2476910108930371,0.2459534621239581,0.0010568912321854,0.1881581010240437,0.1780986198959144,0.1177171541796673,0.1780374323835862,0.1874871973939605,0.1948885232861408,0.1817320517272806,0.1663722389732349,0.2147686054118827,0.2156538534153841,0.1600250783823437
AT,P,0.24373681934010624,0.1957016130673086,0.1672592975368669,0.15240406516341035,0.16306266936015967,0.2113751209801886,0.17893106017014682,0.2579634595363433,0.23827167100961022,0.0008047562948663,0.19653614089315255,0.17423627593062513,0.10339049484270696,0.18603482735712526,0.19707543366235805,0.19928448318496217,0.181494472665207,0.16913957843153735,0.22661895090494594,0.22466510590264155,0.15886176749961028
AT,Q,0.2344974391086233,0.1872228343825348,0.1632029053378992,0.1494835523846057,0.159610571433912,0.201151190032135,0.1734800858369405,0.2464913548031201,0.2352104836711229,0.0016322156787972,0.1878810769971089,0.1712599086449276,0.1068082902778008,0.1775763047347716,0.1876604626321047,0.1919827378672937,0.1767642772289611,0.1633575648462328,0.2156951075878534,0.2147366194145888,0.1552686048135765
AT,R,0.2136035508515697,0.1755503035323795,0.1506074160635593,0.1417402031394532,0.1509533794768883,0.1872262021418782,0.163369637811254,0.2296058874534703,0.220752555248923,0.0007782808597335,0.1751974486683743,0.1637074019538892,0.098875048868066,0.1654260562453205,0.1747896863080817,0.1804820077893571,0.1679183014725522,0.1500939730339919,0.2004881276171151,0.2012956840457218,0.145971764544762
AT,S,0.2404488695293019,0.1973485428765751,0.16975292411237988,0.15729635156681598,0.16773579042373413,0.2109488781427049,0.18259439181622025,0.25962419220739413,0.2488892894827999,0.0008549754623123428,0.19865386992594888,0.18214672946761476,0.11155217764733064,0.18698612412424773,0.19625614203290231,0.20148835200412116,0.18789370008967346,0.16935951103215707,0.2272464180864942,0.22673340190075206,0.1647262469764938
AT,T,0.3403382178389239,0.2371793968402675,0.2574311015795845,0.2336194063632976,0.2466549844281726,0.2679138018387252,0.2449867572623347,0.3064230047851891,0.3528855228393158,0.1911063226083523,0.2378878178639013,0.255035640080919,0.218724772564695,0.2224953062832745,0.2642807698243522,0.2644784707725136,0.249426795968505,0.2502523751301618,0.2764870451791431,0.2703255773430882,0.2124298599692556
AT,U,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AU,A,0.23058997844071794,0.17905089617643208,0.16441672221431206,0.1505658876913854,0.1604481654090449,0.1948993810087747,0.17057073661432623,0.23227911599326867,0.23367242491384477,0.0009694333972690354,0.17976708121224144,0.17185514690389334,0.11686411298019501,0.16818032349258497,0.18462864187050368,0.18722458780092152,0.17605922284268669,0.16229284199090557,0.2062120493517269,0.20503745688577837,0.15040751377644973
AU,B,0.27210081188303575,0.21219647117974283,0.1968638372931141,0.18053732721341767,0.1933602948958434,0.23006840753135913,0.20365028396615467,0.2743015511340064,0.2795232900232338,0.0002882961358972467,0.2125761020239093,0.20490888627326587,0.14337160405175134,0.1986089759054587,0.21877415040901507,0.22333015510959786,0.21258624517406305,0.1931888260494104,0.24349037374741522,0.24368927440096835,0.17899209577432817
