Bank,region,Animal-based energy,Bio-remediation,Buffering and attenuation of mass flows,Climate regulation,Dilution by atmosphere and ecosystems,Disease control,Fibres and other materials,Filtration,Flood and storm protection,Genetic materials,Ground water,Maintain nursery habitats,Mass stabilisation and erosion control,Mediation of sensory impacts,Pest control,Pollination,Soil quality,Surface water,Ventilation,Water flow maintenance,Water quality
Santander UK,LV,1.712306238343395e-05,0.00011283790263830286,2.4119278811053584e-05,0.00012894033102153692,0.00010082390729107966,3.455135992426341e-05,4.55472263774192e-05,0.00013416078351699182,0.00032818904587191016,1.1110242227322113e-06,0.00031272894270929004,1.4644490409152984e-06,0.00014392286656025972,5.9627943416538626e-05,3.465721897349433e-05,2.3750526176414998e-05,5.5609274315803954e-05,0.00028419996906523085,4.004065714876779e-05,0.00021980859545703404,0.00014537170860720055
Santander UK,MT,2.1020125779418035e-08,3.6285884132863036e-06,1.0523318482828148e-07,3.5928548213936707e-06,8.1366840515281e-07,4.3455015755250974e-08,9.118677577112304e-07,2.034655604007564e-06,7.758837029603258e-06,5.832776377087694e-10,7.462458971065239e-06,1.6844683689347722e-09,8.26799056971129e-06,1.7763424945955925e-06,2.235515679641381e-07,2.9747563909699438e-08,3.3935406877970073e-07,6.308978105425634e-06,7.563710595889855e-07,2.3167344737537617e-06,2.2235453008026924e-06
Santander UK,MX,2.4319679143938687e-05,0.002352657896903019,4.516614483525885e-05,0.0021768038847309185,0.00244795916934675,5.1138177662526344e-05,0.0004635185340313293,0.0029867007915971694,0.005581877903086239,1.1627872650948677e-05,0.008210914658680724,2.114644438912197e-06,0.002903247452406724,0.0014728156118051208,7.95232356373352e-05,3.4575742124103964e-05,0.0006085673431164147,0.007444546279884597,0.0006920824979784372,0.006438691271495433,0.002939647490464539
Santander UK,NL,0.002186535702164524,0.052297889681335225,0.0037520462524496686,0.04482628750886122,0.029290431593269065,0.0046466574175615645,0.009231517300133971,0.04426811386942919,0.10102825730617979,0.00014630169481137138,0.10992733170930885,0.00018479367374028347,0.06377147035082027,0.022679125375194113,0.00623554476067716,0.0031132139389844593,0.01188196015514372,0.09707960757061453,0.012037259334555265,0.07532401694754387,0.042470211924942027
Santander UK,NO,0.0015611314985982455,0.060032555718131486,0.0028661539660543934,0.6579248230775961,0.030665689039333425,0.0031868671902119633,0.007311205864191302,0.07001320344289998,0.16554669532119984,2.4767176843222597e-05,0.7744880286149863,0.00013537064286026293,0.48558489437232977,0.022226081599702654,0.005943732213276719,0.002232491537578887,0.0103743407245204,0.7499131735850771,0.011991503571799036,0.7792466019214523,0.06676990865191657
Santander UK,PL,0.0004606365140818505,0.01736788205922722,0.0009651223676129201,0.022028800218832682,0.014967533024459776,0.0009741566700322101,0.003212424148410088,0.020673053085714998,0.053511050673014135,6.176789635371378e-05,0.05299669989368349,4.008335293397366e-05,0.02338165990540255,0.011486699835568805,0.0022191410899534956,0.0006593174987198466,0.004869286390458561,0.04763953411156842,0.0057528682704602995,0.03452240994493674,0.02187955460164423
Santander UK,PT,3.8353822557202456e-05,0.0010424872333701023,7.226039385449936e-05,0.0011239944474466348,0.0008323894140525308,8.08873129910522e-05,0.0002489590276005963,0.0011717923901618222,0.002931292221239244,3.7549292980371153e-06,0.0029873710533489003,3.2900196829394035e-06,0.0013772662669615458,0.0006301739157918171,0.00012846140316778398,5.470389627158293e-05,0.00028970727074443663,0.0026393639915719123,0.0003238630932582418,0.0019309329562861677,0.00121825482855047
Santander UK,RO,1.8731651097716504e-05,0.0004322949008575853,3.194433041805211e-05,0.0006595703188920692,0.0003895946927305017,3.940191734942248e-05,9.856405417443009e-05,0.0005012180512007932,0.0015284591393589487,1.87330921415249e-06,0.0013791741722783653,1.6384449455816988e-06,0.0006323569789792518,0.00027686033470534615,7.406326946230739e-05,2.6757569229024104e-05,0.0001394006261238559,0.001231069896335077,0.00016014735264527273,0.0008776740766967541,0.0006074118062898332
Santander UK,RU,0.0007099355354315717,0.015458085616032242,0.0012227233190283935,0.030746667764996,0.012120542406195874,0.0014828702812054683,0.003353467288452999,0.016981715635658506,0.04114364228151004,4.0709077513680295e-05,0.05770619993926855,6.090223055814326e-05,0.03192548739743022,0.007873321844207437,0.0022257391639061075,0.0010148490357262685,0.004538897438539608,0.052720071698117675,0.004507966524976058,0.04582609542331527,0.017782343657318306
Santander UK,SE,0.00032190120783350153,0.010425495329865435,0.0005882598057843485,0.007444554429037626,0.006935048782925332,0.0006857722410200995,0.0017680799820174542,0.009776311277227914,0.02147328885021497,3.113505142376884e-05,0.023665468360348215,2.7318841472193105e-05,0.01159735410240363,0.005081486374371123,0.000978196154074362,0.0004597791339889555,0.002349494132078367,0.020937891584402304,0.002534210342528112,0.016092113425714715,0.009638717784245547
Santander UK,SI,5.766558794518939e-07,5.3206554560984704e-05,1.9371989124241167e-06,6.518054657304772e-05,4.190385527896152e-05,1.2277670207422068e-06,8.333392908348971e-06,5.998456349956312e-05,0.0001620594369594538,1.3066740624926822e-07,0.0001554610660783172,5.020123462409206e-08,7.268092604493972e-05,3.5280494129698355e-05,5.520436857914136e-06,8.318780521425829e-07,1.2663104898080582e-05,0.0001394288446816032,1.6706270840365305e-05,9.468306756307548e-05,6.369526458640889e-05
Santander UK,SK,1.0941252396141905e-05,0.0011193794461636158,3.2272903055675315e-05,0.0016082913324467327,0.0008685500489315456,2.3250597514079772e-05,0.00016155505383134855,0.0012450924691243407,0.003796852750345493,2.456666528871576e-06,0.0034106254514852823,9.807948470905769e-07,0.0015909073447798437,0.0008270405649275335,0.0001318474273163779,1.5917604455227824e-05,0.00026504449311410037,0.0031618528345877805,0.00035810362740502076,0.001962835901021923,0.0013871495346259566
Santander UK,TR,0.0001353341599901399,0.0033120925009364143,0.00020492726071632132,0.0027186206379323304,0.003108610124101544,0.00028399682906521346,0.0008292098388866996,0.003950509890385833,0.008735836163114146,1.826542143559953e-05,0.00989577160624207,1.1821100177047266e-05,0.003790220961875195,0.002162643549518202,0.0003298789921342767,0.00019321413821092676,0.0009613873119425309,0.008895212300768588,0.0010391377416554815,0.006773731497471523,0.004035630359408859
