region,Code,Animal-based energy,Bio-remediation,Buffering and attenuation of mass flows,Climate regulation,Dilution by atmosphere and ecosystems,Disease control,Fibres and other materials,Filtration,Flood and storm protection,Genetic materials,Ground water,Maintain nursery habitats,Mass stabilisation and erosion control,Mediation of sensory impacts,Pest control,Pollination,Soil quality,Surface water,Ventilation,Water flow maintenance,Water quality
AT,A,0.028464449095991783,0.12258552739312396,0.03568405436277409,0.209167297873453,0.08408186689809953,0.04597224804069572,0.04117040591084207,0.10052815780350134,0.2778580992604549,0.031196889772401013,0.2547355460592369,0.0012082378442472403,0.3057761808330833,0.06529089156402759,0.05312819228840171,0.04267495738839381,0.06519491881154485,0.2618323905556117,0.04179183627603219,0.17300242610569821,0.14076827616864945
AT,B,0.000881119938945,0.055490249668185755,0.0023269178368262003,0.10851591734324008,0.020697454447213968,0.0016271941597166535,0.007856564686468613,0.03607319592077516,0.11223673130149722,0.0018118680850732467,0.11930370746490852,2.2915905550609148e-05,0.16683646884133163,0.03341024924846224,0.005665008621244967,0.0013827352040611067,0.007853161207528466,0.12675823532592081,0.012020524524080986,0.08042729459232435,0.045588745215949765
AT,C,0.012206473661301514,0.12238594586485045,0.02111137873803169,0.2046683814026338,0.08961078408505163,0.02609813191159813,0.03676143053330611,0.10296074010307656,0.2586860608857922,0.017325898763908068,0.27491389891745927,0.00010348001368310289,0.2821021333592993,0.08905259941119717,0.030757442893073195,0.02031431567339984,0.04112362836198618,0.28483866779812,0.04232687252627238,0.19593746937626957,0.12922231870971615
AT,D,0.0004931309671576437,0.07761334127572375,0.004103452690325618,0.18074086161417666,0.017244002832997724,0.0009008036265701938,0.011719504032662463,0.066170037675659,0.21277495863216903,0.000866485976269975,0.15849181930503042,1.1509270953379888e-05,0.25828185403895143,0.031142699131936423,0.005871515868041919,0.0007337560665238562,0.008461004895873243,0.2014027532074044,0.0114095283068261,0.15928475340263756,0.08218594649032589
AT,E,0.0014665681453191082,0.08147801132096816,0.010254629468641826,0.14528114627218514,0.0366668007044564,0.0027347594832802294,0.008123818655128146,0.14067444199028226,0.1783930242702829,0.002427066097225335,0.21387836901175244,3.564475581778132e-05,0.20796358469393783,0.05991262846448752,0.015422899738344625,0.002235683802179208,0.0218817325062088,0.22561622631444617,0.02037531177833337,0.12415545593318389,0.07602224611672252
AT,F,0.0015597977600905,0.1091487123544439,0.0026431786407896,0.1474253640141188,0.0796482190469637,0.0027697386354901,0.006913417727533,0.0827856546310816,0.2124714588077908,0.0034426723268533,0.2606217985063405,3.407568767484859e-05,0.2405602042794893,0.1159948863152723,0.015688472889506,0.0023011492100491,0.0230602323633426,0.2741576679666688,0.0378641937526355,0.163608688155551,0.0970274515843662
AT,G,0.0009291723210716334,0.11284267118964048,0.0037980024526782998,0.18611239946348357,0.06972052536609206,0.0020604510035320666,0.008680761628831501,0.0707798629439727,0.24250471007474209,0.0030933766212472,0.21370115507824525,4.6671263569010497e-05,0.3036853850656945,0.10289096451939102,0.008329715194349835,0.0015483555084368,0.013158059525576768,0.22229440657193433,0.03637122246051647,0.1363671340569037,0.10579425689530793
AT,H,0.0012651109494581667,0.0799334693334718,0.004306069510164133,0.23569183507599198,0.03606899224100737,0.0028322916890219335,0.012659045408945517,0.05834024466075519,0.2870802050494404,0.004468154303475433,0.23532023595258622,7.132717947778507e-05,0.3370742360136556,0.05810941664108221,0.01906288260745435,0.002138470678580933,0.015568337344534734,0.24556469202090583,0.028809622147685034,0.10115562276499417,0.08782759101638411
AT,I,0.0074847419198438,0.1638003864214595,0.0174688665122586,0.1402748244652202,0.0927093517088581,0.0180648399168015,0.0306341589614181,0.1212448379964761,0.2586302039305923,0.0170440336698446,0.3180866724033733,0.0008708747230121,0.3203407907718998,0.0694607695874607,0.0235132028954356,0.0130214481983773,0.0614026793958898,0.3351226590998281,0.0231721344066672,0.1794684659323226,0.152633152218622
AT,J,0.00064954021418695,0.0991648648979983,0.01140183839821385,0.13909873313423554,0.04260253733763615,0.0013461838891056,0.0062899627469764005,0.037648825195111604,0.15575069650935658,0.00201037491002945,0.13465944246500836,3.1760011679113955e-05,0.2661636100531499,0.046443421549460295,0.0060942684800115495,0.00105013969471585,0.015837949662822502,0.14374363981160826,0.0150811464501984,0.0660176578275335,0.0485905080503947
AT,K,0.0005834029318423333,0.07945106936925717,0.0038051038759625336,0.0777912122814192,0.018255066311382167,0.0013053058186758666,0.0062845113412242,0.02610224086420083,0.09423463081946953,0.0015815444490849667,0.0839941072289949,4.049824251847406e-05,0.35123854675519506,0.0302162586594445,0.004189795673323567,0.0009774268353727,0.0077402118361749326,0.08899253889572804,0.0093193103781598,0.040880829405471567,0.031650318770793565
AT,L,0.0008353367483173,0.1310321196106654,0.0126415741291276,0.1191335100175128,0.0246294973972841,0.0015638015964758,0.0055115110761377,0.11639457432023,0.1652961367201857,0.0017218336443255,0.2125673998869238,2.182012795477147e-05,0.2760632394542111,0.0908847692931273,0.0195041432349607,0.0012653394308473,0.0294933660829769,0.2402931527764008,0.0163912739549025,0.104893203887267,0.0619951595090403
AT,M,0.0014221797563368,0.124592685139348,0.0051065031284774,0.1259499898152141,0.0523868504559941,0.0028957558043299,0.0097462882660332,0.0565213846112024,0.1679360602994865,0.0045160553455982,0.166683416761896,5.4722333041674576e-05,0.3023380885015158,0.0691200149355495,0.007856816965885,0.0023100476571537,0.0121670747932807,0.1766878138926087,0.0240615592220642,0.1037960093328209,0.0718661037216795
AT,N,0.00088424661279795,0.0825550026752151,0.00407936586489295,0.15259107833721008,0.03288585063158325,0.0019027869025166001,0.0073909031683835995,0.044883106999302896,0.18684536914335836,0.0025197672916349,0.16351456724232025,4.77513737049749e-05,0.25837987966555886,0.05488833447797455,0.0086973404356975,0.0014578048920806498,0.0129759331518545,0.1721792141926402,0.0184495850728356,0.08111949062743065,0.06589439662343664
