region,Code,indout
EE,J,2334.664681284
EE,K,1929.193008791
EE,L,3738.15108885
EE,M,231.48663947
EE,N,4228.076847262
EE,O,2449.48440856
EE,P,4609.84762651
EE,Q,1313.17145428
EE,R,992.567823965
EE,S,4707.856591164
EE,T,6.51517404054
EE,U,0.0
ES,A,63187.0320855248
ES,B,10420.8161460225
ES,C,516512.6484924584
ES,D,109564.42136922454
ES,E,82045.38592262084
ES,F,179428.638107
ES,G,105140.00689878
ES,H,91267.446605378
ES,I,205408.751449
ES,J,96182.6325791
ES,K,99046.6729023
ES,L,62887.1630722
ES,M,10178.4877739
ES,N,96521.59521680001
ES,O,105228.271115
ES,P,260209.6303421
ES,Q,127161.944287
ES,R,68560.9874806
ES,S,174602.97305768
ES,T,9539.01919853
ES,U,0.0
FI,A,11229.990653314326
FI,B,3474.4103963555517
FI,C,103179.58465360345
FI,D,12010.14267934996
FI,E,4368.476353305069
FI,F,45052.055666
FI,G,21894.133975088
FI,H,24342.3647037279
FI,I,10032.3402616
FI,J,16098.60277507
FI,K,10947.044009829999
FI,L,32285.403087
FI,M,6865.04935567
FI,N,21092.16620544
FI,O,22371.5368141
FI,P,50130.3384974
FI,Q,31549.294762
FI,R,8007.64480927
FI,S,61033.43300731
FI,T,174.429245071
FI,U,0.0
FR,A,108307.3143959942
FR,B,12212.41604012471
FR,C,786791.3548210001
FR,D,131932.6168650678
FR,E,80442.7656078676
FR,F,378996.593713
FR,G,203570.04468049
FR,H,187729.23064444
FR,I,161915.468956
FR,J,171398.7653661
FR,K,239057.11445
FR,L,316524.817033
FR,M,50311.1367771
FR,N,155570.9400744
FR,O,235549.904785
FR,P,587415.270404
FR,Q,315905.968785
FR,R,110594.56959
FR,S,335392.403023
FR,T,12258.6113266
FR,U,0.0
GB,A,40438.60066094734
GB,B,85425.59180747185
GB,C,568202.8529583878
GB,D,103393.35705330134
GB,E,83751.37116712616
GB,F,389837.791514
GB,G,177925.30688071
GB,H,213598.183491438
GB,I,185327.434589
GB,J,197531.2161098
GB,K,327907.5281554
GB,L,366898.657575
GB,M,18508.6640253
GB,N,174469.0070153
GB,O,238875.453936
GB,P,657963.150058
GB,Q,329024.638172
GB,R,113164.911991
GB,S,396742.2741322
GB,T,9294.88553949
GB,U,0.0
GR,A,14441.93461375501
GR,B,2040.5977445680505
GR,C,55109.85604537963
GR,D,10902.293937022854
GR,E,7985.80859311344
GR,F,9767.2047589
GR,G,19311.184624996
GR,H,20780.342865199
GR,I,29855.7244933
GR,J,12447.260376810002
GR,K,12323.759821486
GR,L,24559.229921
GR,M,600.95482906
GR,N,6534.7030075699995
GR,O,25541.5860756
GR,P,32905.709394699996
GR,Q,18293.0001385
GR,R,7289.59292024
GR,S,26652.044577050998
GR,T,2220.21008821
GR,U,0.0
HR,A,3429.67967696388
HR,B,660.873139315517
HR,C,18792.658239335233
HR,D,3736.0194494961493
HR,E,2431.430074074527
HR,F,9953.78231297
HR,G,3855.47662227
HR,H,5446.9713985962
HR,I,10194.2855635
HR,J,3458.3108357
HR,K,4655.112570475
HR,L,4337.28521756
HR,M,222.62753661
HR,N,1815.445765792
HR,O,6503.05140443
HR,P,6971.230583840001
