Bank,Sector,Geography,GBP m,EUR m
Bank X,"Arts, entertainment and recreation",United Kingdom,505.8337845,591.8255279
Bank X,"Arts, entertainment and recreation",United States,219.6532162,256.994263
Bank X,"Arts, entertainment and recreation",Other Countries,46.47503955,54.37579627
Bank X,"Arts, entertainment and recreation",Luxembourg,10.18148468,11.91233708
Bank X,"Arts, entertainment and recreation",Canada,6.820801846,7.98033816
Bank X,"Arts, entertainment and recreation",Singapore,5.462490664,6.391114077
Bank X,Other services,United Kingdom,179.7495908,210.3070213
Bank X,Other services,United States,78.05444585,91.32370164
Bank X,Other services,Other Countries,16.51504822,19.32260642
Bank X,Other services,France,15.41527673,18.03587377
Bank X,Other services,Japan,5.4302661,6.353411337
Bank X,Other services,Germany,4.554513578,5.328780886
Bank X,Other services,Ireland,4.297931022,5.028579296
Bank X,Other services,Luxembourg,3.618021891,4.233085613
Bank X,Other services,Canada,2.423792911,2.835837706
Bank X,Other services,Singapore,1.941112856,2.271102041
Bank Y,"Agriculture, forestry and fishing",United Kingdom,1059.944254,1240.134778
Bank Y,Mining and quarrying,United States,1017.562501,1190.548127
Bank Y,Mining and quarrying,Other Countries,2898.842202,3391.645376
Bank Y,Manufacturing,United Kingdom,14905.75528,17439.73367
Bank Y,Manufacturing,Hong Kong,15998.47773,18718.21894
Bank Y,Manufacturing,United States,11145.46504,13040.1941
Bank Y,Manufacturing,Other Countries,31751.31195,37149.03499
Bank Y,"Electricity, gas, steam and air conditioning supply",United Kingdom,2854.972534,3340.317865
Bank Y,"Electricity, gas, steam and air conditioning supply",Hong Kong,3064.267034,3585.192429
Bank Y,Water supply,United Kingdom,478.833766,560.2355062
Bank Y,Water supply,Hong Kong,513.9364762,601.3056771
Bank Y,Water supply,United States,358.0378786,418.904318
Bank Y,Construction,United States,1717.889841,2009.931115
Bank Y,Construction,Other Countries,4893.941712,5725.911803
Bank Y,Wholesale and retail trade,United Kingdom,14365.49165,16807.62524
Bank Y,Wholesale and retail trade,Hong Kong,15418.60805,18039.77142
Bank Y,Transport and storage,United States,3098.978306,3625.804618
Bank Y,Transport and storage,Other Countries,8828.400304,10329.22836
Bank Y,Accomodation and food service activities,United Kingdom,2734.346634,3199.185562
Bank Y,Accomodation and food service activities,Hong Kong,2934.798198,3433.713892
Bank Y,Accomodation and food service activities,United States,2044.550192,2392.123725
Bank Y,Accomodation and food service activities,Other Countries,5824.534976,6814.705922
Bank Y,Information and communication,United Kingdom,2882.416522,3372.427331
Bank Y,Real estate activities,United States,12106.71502,14164.85657
Bank Y,Real estate activities,Other Countries,34489.73048,40352.98466
Bank Y,"Professional, scientific and technical activities",United Kingdom,2863.429112,3350.212061
Bank Y,"Professional, scientific and technical activities",Hong Kong,3073.343553,3595.811957
Bank Y,"Professional, scientific and technical activities",United States,2141.0689,2505.050613
Bank Y,"Professional, scientific and technical activities",Other Countries,6099.498435,7136.413169
Bank Y,Administrative and support service activities,United Kingdom,4009.05605,4690.595578
Bank Y,Administrative and support service activities,Hong Kong,4302.954982,5034.457329
Bank Y,Administrative and support service activities,United States,2997.68735,3507.2942
Bank Y,Administrative and support service activities,Other Countries,8539.841618,9991.614693
Bank Y,"Public administration and defense, compulsory social security",United Kingdom,189.5549863,221.779334
Bank Y,"Public administration and defense, compulsory social security",Hong Kong,203.4510276,238.0377022
Bank Y,Education,United States,294.8055975,344.9225491
Bank Y,Education,Other Countries,839.8451261,982.6187976
Bank Y,Human health services and social work activities,United Kingdom,621.9573542,727.6901044
Bank Y,Human health services and social work activities,Hong Kong,667.5522773,781.0361644
Bank Y,Human health services and social work activities,United States,465.0555318,544.1149722
Bank Y,Human health services and social work activities,Other Countries,1324.854837,1550.080159
Bank Y,"Arts, entertainment and recreation",United Kingdom,297.0971251,347.6036363
Bank Y,"Arts, entertainment and recreation",Hong Kong,318.8769472,373.0860283
Bank Y,Other services,Other Countries,4720.262692,5522.707349
Bank Z,"Agriculture, forestry and fishing",Luxembourg,89.07437317,104.2170166
Bank Z,"Agriculture, forestry and fishing",Netherlands,180.1666124,210.7949365
Bank Z,"Agriculture, forestry and fishing",United Kingdom,6674.043945,7808.631416
Bank Z,Mining and quarrying,United Kingdom,665.8212001,779.0108041
Bank Z,Mining and quarrying,United States,23.8145917,27.86307229
Bank Z,Mining and quarrying,Other countries,40.50397807,47.38965435
Bank Z,Manufacturing,Luxembourg,49.93705633,58.42635591
Bank Z,Manufacturing,Netherlands,101.0053728,118.1762862
Bank Z,Manufacturing,United Kingdom,3741.616097,4377.690833
Bank Z,Manufacturing,United States,133.8273092,156.5779518
Bank Z,Manufacturing,Other countries,227.6141648,266.3085728
Bank Z,"Electricity, gas, steam and air conditioning supply",Luxembourg,26.3184956,30.79263986
Bank Z,"Electricity, gas, steam and air conditioning supply",Netherlands,53.23320308,62.28284761
Bank Z,Water supply,United States,22.90227577,26.79566265
Bank Z,Water supply,Other countries,38.95230652,45.57419863
Bank Z,Construction,Luxembourg,50.19531097,58.72851384
Bank Z,Construction,Netherlands,101.5277326,118.7874471
Bank Z,Construction,United Kingdom,3760.966251,4400.330513
Bank Z,Construction,United States,134.519411,157.3877108
Bank Z,Construction,Other countries,228.7912949,267.685815
Bank Z,Wholesale and retail trade,Luxembourg,92.73689352,108.5021654
Bank Z,Wholesale and retail trade,Netherlands,187.5746228,219.4623087
Bank Z,Wholesale and retail trade,United Kingdom,6948.464308,8129.70324
Bank Z,Wholesale and retail trade,United States,248.5274431,290.7771084
