Bank,Sector,Geography,GBP m,EUR m
Bank W,Construction,Other countries,136.8038451,160.0604988
Bank W,Wholesale and retail trade,United Kingdom,0.800465703,0.936544872
Bank W,Wholesale and retail trade,Australia,0.000456773,0.000534425
Bank W,Wholesale and retail trade,Canada,0.002252956,0.002635959
Bank W,Wholesale and retail trade,Denmark,3.43E-05,4.02E-05
Bank W,Wholesale and retail trade,Finland,7.90E-05,9.24E-05
Bank W,Wholesale and retail trade,Singapore,0.000240407,0.000281276
Bank W,Wholesale and retail trade,Sweden,0.000370914,0.000433969
Bank W,Wholesale and retail trade,Other countries,0.194877272,0.228006409
Bank W,Accomodation and food service activities,United Kingdom,4.002328513,4.68272436
Bank W,Accomodation and food service activities,Australia,0.002283866,0.002672123
Bank W,Accomodation and food service activities,Canada,0.011264781,0.013179793
Bank W,Accomodation and food service activities,Denmark,0.000171719,0.000200911
Bank W,Accomodation and food service activities,Finland,0.000394954,0.000462096
Bank W,Accomodation and food service activities,France,0.002455585,0.002873034
Bank W,Accomodation and food service activities,Germany,0.0009788,0.001145195
Bank W,Accomodation and food service activities,Jersey,0.000103032,0.000120547
Bank W,Real estate activities,Canada,18.1250322,21.20628767
Bank W,Real estate activities,Denmark,0.276296223,0.32326658
Bank W,Real estate activities,Finland,0.635481312,0.743513135
Bank W,Real estate activities,France,3.951035982,4.622712099
Bank W,Real estate activities,Germany,1.574888468,1.842619508
Bank W,Real estate activities,Jersey,0.165777734,0.193959948
Bank W,Real estate activities,Norway,4.144443338,4.848998705
Bank W,Real estate activities,Singapore,1.934073558,2.262866062
Bank W,Real estate activities,Sweden,2.983999203,3.491279068
Bank W,"Professional, scientific and technical activities",Denmark,3.43E-05,4.02E-05
Bank W,"Professional, scientific and technical activities",Finland,7.90E-05,9.24E-05
Bank W,"Professional, scientific and technical activities",France,0.000491117,0.000574607
Bank W,"Professional, scientific and technical activities",Germany,0.00019576,0.000229039
Bank W,"Professional, scientific and technical activities",Jersey,2.06E-05,2.41E-05
Bank W,"Professional, scientific and technical activities",Norway,0.000515158,0.000602734
Bank W,"Professional, scientific and technical activities",Singapore,0.000240407,0.000281276
Bank W,"Professional, scientific and technical activities",Sweden,0.000370914,0.000433969
Bank W,"Professional, scientific and technical activities",Other countries,0.194877272,0.228006409
Bank W,Human health services and social work activities,United Kingdom,1.600931405,1.873089744
Bank W,Human health services and social work activities,Australia,0.000913546,0.001068849
Bank W,Human health services and social work activities,Norway,0.001030315,0.001205469
Bank W,Human health services and social work activities,Singapore,0.000480814,0.000562552
Bank W,Human health services and social work activities,Sweden,0.000741827,0.000867938
Bank W,Human health services and social work activities,Other countries,0.389754545,0.456012817
